Category,Zone_Name,Optimal_Discount,Predicted_Net_Sales,Profit
Rickshaw Tyre,Sylhet,8079.379592,58338.26797,50258.88838
Rickshaw Tyre,Rangpur,8079.379592,56391.05263,48311.67304
Rickshaw Tyre,Rajshahi,8079.379592,134745.0192,126665.6396
Rickshaw Tyre,Mymensingh,7069.457143,104093.9648,97024.50767
Rickshaw Tyre,Kushtia,8079.379592,56512.82014,48433.44055
Rickshaw Tyre,Khulna,4881.291837,65624.04268,60742.75084
Rickshaw Tyre,Jashore,6732.816327,98601.49302,91868.67669
Rickshaw Tyre,Gazipur,8079.379592,56476.4415,48397.06191
Rickshaw Tyre,Dinajpur,8079.379592,56194.59202,48115.21243
Rickshaw Tyre,Dhaka City,8079.379592,63778.20328,55698.82369
Rickshaw Tyre,Cumilla,8079.379592,56391.05263,48311.67304
Rickshaw Tyre,Chattogram,8079.379592,56476.4415,48397.06191
Rickshaw Tyre,Bogura,8079.379592,56476.4415,48397.06191
Rickshaw Tyre,Barishal,8079.379592,58073.72762,49994.34803
Rickshaw Tube,Sylhet,8079.379592,53377.89495,45298.51536
Rickshaw Tube,Rangpur,8079.379592,131709.6183,123630.2387
Rickshaw Tube,Rajshahi,8079.379592,50802.58355,42723.20396
Rickshaw Tube,Mymensingh,8079.379592,75714.02717,67634.64758
Rickshaw Tube,Kushtia,8079.379592,53377.89495,45298.51536
Rickshaw Tube,Khulna,8079.379592,93487.37511,85407.99552
Rickshaw Tube,Jashore,8079.379592,50329.79374,42250.41415
Rickshaw Tube,Gazipur,8079.379592,159362.6174,151283.2378
Rickshaw Tube,Dinajpur,6396.17551,117740.0992,111343.9237
Rickshaw Tube,Dhaka City,8079.379592,53377.89495,45298.51536
Rickshaw Tube,Cumilla,8079.379592,59066.55656,50987.17697
Rickshaw Tube,Bogura,8079.379592,50274.69736,42195.31777
Rickshaw Tube,Barishal,8079.379592,82812.73497,74733.35538
Red Tube,Sylhet,7911.059184,131112.292,123201.2328
Red Tube,Rangpur,8079.379592,50437.13067,42357.75108
Red Tube,Rajshahi,8079.379592,67824.47264,59745.09305
Red Tube,Mymensingh,8079.379592,64641.40386,56562.02427
Red Tube,Kushtia,8079.379592,50388.63354,42309.25394
Red Tube,Gazipur,8079.379592,47038.64242,38959.26283
Red Tube,Dinajpur,8079.379592,77563.76481,69484.38522
Red Tube,Dhaka City,8079.379592,53491.83112,45412.45153
Red Tube,Cumilla,8079.379592,71643.20483,63563.82524
Red Tube,Chattogram,8079.379592,53491.83112,45412.45153
Red Tube,Bogura,8079.379592,47518.03147,39438.65188
Red Tube,Barishal,8079.379592,52346.94406,44267.56447
Bicycle Tyre,Sylhet,8079.379592,51143.17936,43063.79977
Bicycle Tyre,Rangpur,8079.379592,50903.71878,42824.33919
Bicycle Tyre,Rajshahi,8079.379592,50958.81516,42879.43556
Bicycle Tyre,Mymensingh,8079.379592,54006.91636,45927.53677
Bicycle Tyre,Kushtia,8079.379592,51431.60497,43352.22537
Bicycle Tyre,Khulna,8079.379592,48773.33549,40693.9559
Bicycle Tyre,Jashore,8079.379592,47404.0953,39324.71571
Bicycle Tyre,Gazipur,8079.379592,50274.69736,42195.31777
Bicycle Tyre,Dinajpur,8079.379592,48033.11672,39953.73712
Bicycle Tyre,Dhaka City,8079.379592,47404.0953,39324.71571
Bicycle Tyre,Cumilla,8079.379592,98823.02374,90743.64415
Bicycle Tyre,Chattogram,8079.379592,47404.0953,39324.71571
Bicycle Tyre,Bogura,8079.379592,48033.11672,39953.73712
Bicycle Tyre,Barishal,8079.379592,50274.69736,42195.31777
Bicycle Tube,Sylhet,8079.379592,50916.51972,42837.14013
Bicycle Tube,Rangpur,8079.379592,50916.51972,42837.14013
Bicycle Tube,Rajshahi,8079.379592,85563.4399,77484.0603
Bicycle Tube,Mymensingh,8079.379592,50388.63354,42309.25394
Bicycle Tube,Kushtia,8079.379592,47794.01315,39714.63356
Bicycle Tube,Khulna,8079.379592,50916.51972,42837.14013
Bicycle Tube,Jashore,8079.379592,50388.63354,42309.25394
Bicycle Tube,Gazipur,8079.379592,47038.64242,38959.26283
Bicycle Tube,Dinajpur,8079.379592,47314.6241,39235.2445
Bicycle Tube,Dhaka City,8079.379592,50286.96671,42207.58711
Bicycle Tube,Cumilla,8079.379592,87268.93062,79189.55103
Bicycle Tube,Chattogram,8079.379592,50388.63354,42309.25394
Bicycle Tube,Bogura,8079.379592,50388.63354,42309.25394
Bicycle Tube,Barishal,8079.379592,67697.7405,59618.36091
